payment_id,order_id,payment_ts,payment_method,payment_status,amount,currency
PAY0000056,ORD0000056,2026-05-11T22:10:52Z,paypal,success,12081.26,SGD
PAY0000057,ORD0000057,2026-04-30T01:18:43Z,bank_transfer,success,5169.3,SGD
PAY0000058,ORD0000058,2026-03-19T19:28:48Z,bank_transfer,success,10027.63,SGD
PAY0000059,ORD0000059,2026-03-26T00:09:07Z,wallet,success,6434.83,SGD
PAY0000060,ORD0000060,2026-04-08T00:34:40Z,card,success,14226.36,SGD
PAY0000061,ORD0000061,2026-02-11T20:12:01Z,card,success,14089.68,SGD
PAY0000062,ORD0000062,2026-01-04T22:16:21Z,card,success,3020.22,SGD
PAY0000063,ORD0000063,2026-04-22T21:25:45Z,card,pending,20537.92,SGD
PAY0000064,ORD0000064,2026-02-25T16:51:47Z,wallet,pending,6350.56,SGD
PAY0000065,ORD0000065,2026-01-14T21:20:15Z,bank_transfer,success,6326.74,SGD
PAY0000066,ORD0000066,2026-05-06T04:31:36Z,bank_transfer,success,7074.21,SGD
PAY0000067,ORD0000067,2026-02-05T17:03:18Z,wallet,success,2250.21,SGD
PAY0000068,ORD0000068,2026-02-02T11:27:32Z,card,success,2129.23,SGD
PAY0000069,ORD0000069,2026-01-11T11:05:41Z,card,success,3507.28,SGD
PAY0000070,ORD0000070,2026-02-14T14:01:34Z,paypal,pending,6622.85,SGD
PAY0000071,ORD0000071,2026-03-05T03:52:52Z,bank_transfer,success,9657.67,SGD
PAY0000072,ORD0000072,2026-05-04T11:59:51Z,wallet,success,9047.49,SGD
PAY0000073,ORD0000073,2026-03-13T01:33:25Z,bank_transfer,refunded,9820.37,SGD
PAY0000074,ORD0000074,2026-01-02T15:45:37Z,wallet,failed,10997.27,SGD
PAY0000075,ORD0000075,2026-03-21T23:30:41Z,wallet,success,16300.45,SGD
PAY0000076,ORD0000076,2026-05-02T12:10:59Z,bank_transfer,success,10782.45,SGD
PAY0000077,ORD0000077,2026-01-27T13:42:50Z,bank_transfer,success,2562.44,SGD
PAY0000078,ORD0000078,2026-05-01T22:51:34Z,paypal,success,1578.11,SGD
PAY0000079,ORD0000079,2026-01-20T21:41:44Z,wallet,success,4132.12,SGD
PAY0000080,ORD0000080,2026-02-12T05:02:11Z,bank_transfer,success,6370.13,SGD
PAY0000081,ORD0000081,2026-02-21T18:36:48Z,card,success,4408.86,SGD
PAY0000082,ORD0000082,2026-03-16T04:12:46Z,paypal,success,3865.89,SGD
PAY0000083,ORD0000083,2026-05-24T05:39:13Z,bank_transfer,refunded,6434.3,SGD
PAY0000084,ORD0000084,2026-03-17T15:03:39Z,paypal,success,8729.33,SGD
PAY0000085,ORD0000085,2026-04-04T11:00:32Z,card,success,9581.87,SGD
PAY0000086,ORD0000086,2026-01-04T00:07:14Z,wallet,success,6011.84,SGD
PAY0000087,ORD0000087,2026-04-26T20:01:02Z,paypal,failed,8090.0,SGD
PAY0000088,ORD0000088,2026-05-02T10:47:40Z,bank_transfer,success,3176.94,SGD
PAY0000089,ORD0000089,2026-04-05T17:48:45Z,card,success,11202.29,SGD
PAY0000090,ORD0000090,2026-05-21T17:02:41Z,wallet,success,7992.85,SGD
PAY0000091,ORD0000091,2026-04-21T02:39:17Z,paypal,success,9830.77,SGD
PAY0000092,ORD0000092,2026-02-21T03:49:47Z,card,pending,4962.14,SGD
PAY0000093,ORD0000093,2026-03-12T17:47:48Z,bank_transfer,success,3368.22,SGD
PAY0000094,ORD0000094,2026-04-12T19:56:31Z,card,success,8750.43,SGD
PAY0000095,ORD0000095,2026-05-09T00:14:17Z,card,success,2466.71,SGD
PAY0000096,ORD0000096,2026-04-05T07:34:22Z,wallet,success,6045.39,SGD
PAY0000097,ORD0000097,2026-04-06T04:54:39Z,paypal,success,10886.31,SGD
PAY0000098,ORD0000098,2026-04-06T10:44:56Z,paypal,success,10610.19,SGD
PAY0000099,ORD0000099,2026-01-08T22:18:26Z,wallet,failed,2374.02,SGD
PAY0000100,ORD0000100,2026-05-21T21:21:46Z,card,success,12930.21,SGD
PAY0000101,ORD0000101,2026-01-21T12:38:54Z,bank_transfer,failed,13353.7,SGD
PAY0000102,ORD0000102,2026-01-31T17:13:20Z,paypal,success,18409.98,SGD
PAY0000103,ORD0000103,2026-04-16T23:52:09Z,bank_transfer,success,-13185.22,SGD
PAY0000104,ORD0000104,2026-04-26T17:04:21Z,wallet,success,13864.64,SGD
PAY0000105,ORD0000105,2026-01-08T09:20:50Z,bank_transfer,success,5542.77,SGD
PAY0000106,ORD0000106,2026-04-21T18:57:46Z,wallet,success,13259.32,SGD
PAY0000107,ORD0000107,2026-05-05T19:05:24Z,card,success,6181.89,SGD
PAY0000108,ORD0000108,2026-03-06T22:36:07Z,wallet,success,23548.84,SGD
PAY0000109,ORD0000109,2026-03-01T04:26:36Z,paypal,success,1330.08,SGD
PAY0000110,ORD0000110,2026-05-16T12:56:15Z,paypal,success,7739.72,SGD
PAY0000111,ORD0000111,2026-03-25T22:22:58Z,bank_transfer,success,14812.0,SGD
PAY0000112,ORD0000112,2026-03-19T10:55:14Z,wallet,pending,7958.03,SGD
PAY0000113,ORD0000113,2026-04-30T14:51:11Z,card,failed,8749.05,SGD
PAY0000114,ORD0000114,2026-03-12T23:41:14Z,card,success,8312.94,SGD
PAY0000115,ORD0000115,2026-03-09T23:16:47Z,paypal,refunded,11533.61,SGD
PAY0000116,ORD0000116,2026-05-24T16:00:00Z,paypal,success,2235.99,SGD
PAY0000117,ORD0000117,2026-03-29T10:41:20Z,card,pending,1897.44,SGD
PAY0000118,ORD0000118,2026-04-17T03:52:17Z,wallet,success,13387.89,SGD
PAY0000119,ORD0000119,2026-04-24T05:05:59Z,bank_transfer,success,12438.52,SGD
PAY0000120,ORD0000120,2026-03-17T12:34:03Z,bank_transfer,success,2720.77,SGD
PAY0000121,ORD0000121,2026-03-16T00:10:46Z,paypal,pending,2329.96,SGD
PAY0000122,ORD0000122,2026-02-08T15:57:32Z,card,success,3349.6,SGD
PAY0000123,ORD0000123,2026-03-09T09:56:41Z,card,pending,12948.28,SGD
PAY0000124,ORD0000124,2026-03-17T05:27:44Z,wallet,success,14536.37,SGD
PAY0000125,ORD0000125,2026-02-16T17:39:45Z,wallet,pending,4981.91,SGD
PAY0000126,ORD0000126,2026-05-07T17:19:34Z,paypal,success,16598.79,SGD
PAY0000127,ORD0000127,2026-04-20T16:52:54Z,card,success,4385.78,SGD
PAY0000128,ORD0000128,2026-01-06T18:58:08Z,wallet,success,14272.67,SGD
PAY0000129,ORD0000129,2026-02-05T22:32:51Z,paypal,success,6591.69,SGD
PAY0000130,ORD0000130,2026-04-03T13:37:38Z,paypal,success,5252.5,SGD
PAY0000131,ORD0000131,2026-03-21T09:51:48Z,card,success,8735.32,SGD
PAY0000132,ORD0000132,2026-04-30T21:21:18Z,paypal,refunded,8349.33,SGD
PAY0000133,ORD0000133,2026-03-02T19:34:28Z,bank_transfer,refunded,12958.34,SGD
PAY0000134,ORD0000134,2026-02-17T18:55:45Z,card,refunded,16064.88,SGD
PAY0000135,ORD0000135,2026-02-25T14:27:30Z,wallet,success,2054.7,SGD
PAY0000136,ORD0000136,2026-05-06T12:38:04Z,bank_transfer,refunded,2636.13,SGD
PAY0000137,ORD0000137,2026-03-22T07:23:33Z,paypal,success,6932.55,SGD
PAY0000138,ORD0000138,2026-05-23T10:31:00Z,paypal,success,7442.79,SGD
PAY0000139,ORD0000139,2026-04-12T17:17:56Z,paypal,refunded,5021.39,SGD
PAY0000140,ORD0000140,2026-05-09T03:01:02Z,bank_transfer,success,6061.73,SGD
PAY0000141,ORD0000141,2026-03-28T16:49:50Z,wallet,success,4934.79,SGD
PAY0000142,ORD0000142,2026-03-31T02:05:46Z,paypal,refunded,9056.17,SGD
PAY0000143,ORD0000143,2026-01-16T11:27:13Z,bank_transfer,pending,10274.06,SGD
PAY0000144,ORD0000144,2026-01-29T05:54:37Z,wallet,success,9947.0,SGD
PAY0000145,ORD0000145,2026-03-30T11:50:41Z,card,success,7766.09,SGD
PAY0000146,ORD0000146,2026-04-02T10:40:55Z,bank_transfer,success,782.06,SGD
PAY0000147,ORD0000147,2026-02-10T18:08:01Z,card,refunded,6128.99,SGD
PAY0000148,ORD0000148,2026-05-21T15:58:48Z,card,failed,14213.87,SGD
PAY0000149,ORD0000149,2026-05-22T15:36:49Z,card,failed,11882.92,SGD
PAY0000150,ORD0000150,2026-01-23T22:47:25Z,wallet,pending,5545.34,SGD
PAY0000151,ORD0000151,2026-05-05T11:16:51Z,bank_transfer,success,9337.5,SGD
PAY0000152,ORD0000152,2026-05-14T04:52:35Z,wallet,success,9230.81,SGD
PAY0000153,ORD0000153,2026-05-11T15:37:04Z,paypal,success,6823.77,SGD
PAY0000154,ORD0000154,2026-03-22T09:34:39Z,paypal,success,2953.16,SGD
PAY0000155,ORD0000155,2026-04-15T02:07:26Z,paypal,success,5969.48,SGD
PAY0000156,ORD0000156,2026-01-07T02:21:38Z,wallet,success,13504.43,SGD
PAY0000157,ORD0000157,2026-03-03T01:56:24Z,bank_transfer,failed,1006.06,SGD
PAY0000158,ORD0000158,2026-03-29T19:25:10Z,bank_transfer,success,2392.83,SGD
PAY0000159,ORD0000159,2026-02-09T05:59:48Z,bank_transfer,success,5125.13,SGD
PAY0000160,ORD0000160,2026-03-05T15:29:19Z,paypal,success,6690.75,SGD
PAY0000161,ORD0000161,2026-01-08T03:55:49Z,wallet,success,10064.05,SGD
PAY0000162,ORD0000162,2026-01-10T01:00:36Z,bank_transfer,success,12353.32,SGD
PAY0000163,ORD0000163,2026-04-14T10:19:06Z,bank_transfer,success,8104.92,SGD
PAY0000164,ORD0000164,2026-04-16T09:29:01Z,card,success,5920.41,SGD
PAY0000165,ORD0000165,2026-03-28T05:11:52Z,bank_transfer,success,2548.76,SGD
PAY0000166,ORD0000166,2026-03-24T20:27:27Z,card,refunded,11500.5,SGD
PAY0000167,ORD0000167,2026-03-11T02:29:45Z,card,success,10013.46,SGD
PAY0000168,ORD0000168,2026-01-26T15:40:37Z,bank_transfer,success,12491.86,SGD
PAY0000169,ORD0000169,2026-04-30T20:12:30Z,bank_transfer,success,13418.48,SGD
PAY0000170,ORD0000170,2026-04-03T07:41:07Z,bank_transfer,success,7411.9,SGD
PAY0000171,ORD0000171,2026-05-19T18:14:13Z,paypal,success,3201.68,SGD
PAY0000172,ORD0000172,2026-05-01T14:11:11Z,paypal,success,9070.19,SGD
PAY0000173,ORD0000173,2026-05-15T19:16:41Z,bank_transfer,success,4853.61,SGD
PAY0000174,ORD0000174,2026-04-26T00:59:48Z,bank_transfer,success,8683.7,SGD
PAY0000175,ORD0000175,2026-04-07T00:59:56Z,wallet,failed,657.31,SGD
PAY0000176,ORD0000176,2026-01-29T12:58:22Z,card,failed,5980.02,SGD
PAY0000177,ORD0000177,2026-02-09T22:45:10Z,wallet,pending,6893.66,SGD
PAY0000178,ORD0000178,2026-04-24T03:43:16Z,bank_transfer,success,8769.2,SGD
PAY0000179,ORD0000179,2026-02-24T19:29:25Z,paypal,success,10085.56,SGD
PAY0000180,ORD0000180,2026-03-16T03:01:19Z,paypal,failed,14083.5,SGD
PAY0000181,ORD0000181,2026-01-03T07:50:21Z,wallet,success,5739.27,SGD
PAY0000182,ORD0000182,2026-01-27T10:17:39Z,wallet,success,9697.8,SGD
PAY0000183,ORD0000183,2026-02-04T22:36:59Z,wallet,success,9088.05,SGD
PAY0000184,ORD0000184,2026-04-08T11:04:32Z,wallet,success,11665.65,SGD
PAY0000185,ORD0000185,2026-05-15T02:27:01Z,card,success,5778.37,SGD
PAY0000186,ORD0000186,2026-04-29T12:12:06Z,card,success,10725.12,SGD
PAY0000187,ORD0000187,2026-05-04T02:56:54Z,wallet,success,11414.5,SGD
PAY0000188,ORD0000188,2026-03-10T13:03:03Z,bank_transfer,success,8877.47,SGD
PAY0000189,ORD0000189,2026-05-03T05:07:02Z,wallet,success,10772.61,SGD
PAY0000190,ORD0000190,2026-02-24T00:27:09Z,wallet,success,6943.94,SGD
PAY0000191,ORD0000191,2026-02-03T21:54:34Z,wallet,refunded,2776.35,SGD
PAY0000192,ORD0000192,2026-02-05T03:33:54Z,card,success,676.63,SGD
PAY0000193,ORD0000193,2026-04-07T09:14:11Z,bank_transfer,success,7011.68,SGD
PAY0000194,ORD0000194,2026-05-05T17:17:13Z,paypal,success,1772.51,SGD
PAY0000195,ORD0000195,2026-04-03T13:12:41Z,paypal,pending,18618.78,SGD
PAY0000196,ORD0000196,2026-05-12T18:56:30Z,wallet,success,16289.35,SGD
PAY0000197,ORD0000197,2026-01-20T02:50:10Z,paypal,success,21710.1,SGD
PAY0000198,ORD0000198,2026-04-17T08:54:34Z,bank_transfer,success,431.61,SGD
PAY0000199,ORD0000199,2026-03-28T15:43:28Z,paypal,success,1776.3,SGD
PAY0000200,ORD0000200,2026-04-26T10:14:11Z,card,failed,4904.25,SGD
PAY0000201,ORD0000201,2026-04-28T11:54:24Z,bank_transfer,success,5581.71,SGD
PAY0000202,ORD0000202,2026-01-15T18:12:13Z,bank_transfer,success,7500.97,SGD
PAY0000203,ORD0000203,2026-01-13T03:30:46Z,wallet,success,10488.13,SGD
PAY0000204,ORD0000204,2026-03-18T06:52:32Z,wallet,success,12107.81,SGD
PAY0000205,ORD0000205,2026-02-20T07:31:36Z,wallet,success,251.23,SGD
PAY0000206,ORD0000206,2026-03-28T14:37:39Z,wallet,success,11375.9,SGD
PAY0000207,ORD0000207,2026-03-17T23:54:54Z,paypal,success,6951.45,SGD
PAY0000208,ORD0000208,2026-03-26T17:23:33Z,paypal,success,-973.41,SGD
PAY0000209,ORD0000209,2026-04-21T05:02:53Z,paypal,success,12050.91,SGD
PAY0000210,ORD0000210,2026-04-14T21:19:20Z,bank_transfer,success,2818.66,SGD
PAY0000211,ORD0000211,2026-01-08T17:00:47Z,wallet,pending,3012.31,SGD
PAY0000212,ORD0000212,2026-01-17T13:22:16Z,bank_transfer,success,6821.73,SGD
PAY0000213,ORD0000213,2026-04-15T23:36:18Z,card,success,4667.25,SGD
PAY0000214,ORD0000214,2026-01-24T00:42:30Z,bank_transfer,success,14112.32,SGD
PAY0000215,ORD0000215,2026-05-01T03:34:22Z,wallet,success,2118.53,SGD
PAY0000216,ORD0000216,2026-03-01T17:24:44Z,card,success,7482.04,SGD
PAY0000217,ORD0000217,2026-02-09T08:29:34Z,wallet,pending,8430.21,SGD
PAY0000218,ORD0000218,2026-02-11T10:25:56Z,paypal,success,15630.99,SGD
PAY0000219,ORD0000219,2026-04-24T00:41:01Z,bank_transfer,success,10843.43,SGD
PAY0000220,ORD0000220,2026-04-05T14:41:58Z,bank_transfer,success,262.96,SGD
PAY0000221,ORD0000221,2026-05-15T16:03:38Z,wallet,refunded,6865.93,SGD
PAY0000222,ORD0000222,2026-02-03T21:41:25Z,wallet,refunded,1871.69,SGD
PAY0000223,ORD0000223,2026-02-28T12:23:33Z,bank_transfer,success,10631.47,SGD
PAY0000224,ORD0000224,2026-05-02T16:30:05Z,wallet,refunded,2435.89,SGD
PAY0000225,ORD0000225,2026-02-04T07:00:42Z,bank_transfer,success,5317.53,SGD
PAY0000226,ORD0000226,2026-02-18T19:34:26Z,card,success,7853.1,SGD
PAY0000227,ORD0000227,2026-02-15T18:19:36Z,paypal,success,12474.84,SGD
PAY0000228,ORD0000228,2026-02-14T06:48:28Z,bank_transfer,success,4897.69,SGD
PAY0000229,ORD0000229,2026-04-24T15:04:39Z,paypal,failed,1114.92,SGD
PAY0000230,ORD0000230,2026-03-17T05:43:24Z,bank_transfer,success,4045.46,SGD
PAY0000231,ORD0000231,2026-03-07T06:32:01Z,paypal,success,1173.09,SGD
PAY0000232,ORD0000232,2026-04-01T10:08:49Z,wallet,failed,16668.46,SGD
PAY0000233,ORD0000233,2026-04-18T08:11:40Z,bank_transfer,success,4834.05,SGD
PAY0000234,ORD0000234,2026-04-02T22:38:07Z,card,success,6964.32,SGD
PAY0000235,ORD0000235,2026-04-25T22:15:20Z,card,success,12167.89,SGD
PAY0000236,ORD0000236,2026-04-07T04:23:44Z,bank_transfer,success,1136.49,SGD
PAY0000237,ORD0000237,2026-02-12T08:15:01Z,paypal,success,2637.96,SGD
PAY0000238,ORD0000238,2026-03-31T05:01:47Z,paypal,success,12759.56,SGD
PAY0000239,ORD0000239,2026-05-02T21:18:11Z,card,success,17325.53,SGD
PAY0000240,ORD0000240,2026-05-13T23:38:15Z,wallet,success,17203.19,SGD
PAY0000241,ORD0000241,2026-03-13T05:33:05Z,bank_transfer,success,5536.17,SGD
PAY0000242,ORD0000242,2026-04-23T15:59:08Z,card,success,4065.26,SGD
PAY0000243,ORD0000243,2026-05-13T02:56:10Z,bank_transfer,pending,8410.6,SGD
PAY0000244,ORD0000244,2026-05-18T21:35:32Z,paypal,success,7803.46,SGD
PAY0000245,ORD0000245,2026-01-15T22:58:01Z,card,success,2132.86,SGD
PAY0000246,ORD0000246,2026-05-02T21:02:08Z,bank_transfer,success,5403.12,SGD
PAY0000247,ORD0000247,2026-02-06T17:14:11Z,paypal,success,6274.83,SGD
PAY0000248,ORD0000248,2026-03-08T14:00:43Z,card,failed,12985.08,SGD
PAY0000249,ORD0000249,2026-01-26T16:28:04Z,card,success,9129.46,SGD
PAY0000250,ORD0000250,2026-03-10T13:44:45Z,paypal,success,7123.03,SGD
PAY0000251,ORD0000251,2026-02-16T05:06:09Z,paypal,success,1330.08,SGD
PAY0000252,ORD0000252,2026-02-05T21:41:59Z,paypal,success,11584.36,SGD
PAY0000253,ORD0000253,2026-01-05T20:22:35Z,wallet,failed,8757.51,SGD
PAY0000254,ORD0000254,2026-05-18T00:09:29Z,paypal,success,12650.32,SGD
PAY0000255,ORD0000255,2026-04-04T02:05:51Z,card,success,2108.24,SGD
PAY0000256,ORD0000256,2026-03-11T10:40:28Z,bank_transfer,success,7231.04,SGD
PAY0000257,ORD0000257,2026-01-05T10:07:03Z,bank_transfer,success,16529.87,SGD
PAY0000258,ORD0000258,2026-05-10T13:17:23Z,card,success,10237.27,SGD
PAY0000259,ORD0000259,2026-04-19T23:22:12Z,bank_transfer,success,2264.75,SGD
PAY0000260,ORD0000260,2026-05-22T09:48:44Z,paypal,pending,6890.39,SGD
PAY0000261,ORD0000261,2026-04-25T18:18:47Z,card,pending,525.92,SGD
PAY0000262,ORD0000262,2026-02-04T00:35:37Z,paypal,refunded,8017.96,SGD
PAY0000263,ORD0000263,2026-02-28T15:33:20Z,bank_transfer,success,7410.61,SGD
PAY0000264,ORD0000264,2026-02-28T08:45:26Z,wallet,success,11945.28,SGD
PAY0000265,ORD0000265,2026-02-23T21:36:30Z,card,success,3181.77,SGD
PAY0000266,ORD0000266,2026-03-26T17:11:35Z,paypal,success,14743.05,SGD
PAY0000267,ORD0000267,2026-03-04T02:04:19Z,card,success,2934.52,SGD
PAY0000268,ORD0000268,2026-02-26T07:09:40Z,bank_transfer,success,14764.49,SGD
PAY0000269,ORD0000269,2026-05-14T01:28:41Z,card,success,7877.57,SGD
PAY0000270,ORD0000270,2026-01-27T15:31:50Z,paypal,success,7803.69,SGD
PAY0000271,ORD0000271,2026-02-12T22:55:48Z,wallet,success,12926.86,SGD
PAY0000272,ORD0000272,2026-01-26T12:14:10Z,paypal,success,6699.8,SGD
PAY0000273,ORD0000273,2026-05-18T21:05:59Z,wallet,success,1708.92,SGD
PAY0000274,ORD0000274,2026-02-14T00:13:48Z,bank_transfer,success,6753.52,SGD
PAY0000275,ORD0000275,2026-01-04T15:55:39Z,card,refunded,14813.46,SGD
PAY0000276,ORD0000276,2026-01-13T21:19:06Z,wallet,success,2279.05,SGD
PAY0000277,ORD0000277,2026-02-08T21:03:53Z,card,success,8191.91,SGD
PAY0000278,ORD0000278,2026-04-08T06:52:31Z,card,success,14560.17,SGD
PAY0000279,ORD0000279,2026-04-15T07:33:27Z,card,success,5511.96,SGD
PAY0000280,ORD0000280,2026-05-16T15:32:06Z,bank_transfer,success,4549.11,SGD
PAY0000281,ORD0000281,2026-02-11T16:33:21Z,bank_transfer,refunded,4340.46,SGD
PAY0000282,ORD0000282,2026-03-12T03:49:56Z,wallet,failed,3036.77,SGD
PAY0000283,ORD0000283,2026-04-27T15:12:04Z,bank_transfer,pending,9637.57,SGD
PAY0000284,ORD0000284,2026-01-14T13:21:07Z,card,success,8205.77,SGD
PAY0000285,ORD0000285,2026-01-28T20:24:28Z,wallet,success,8307.02,SGD
PAY0000286,ORD0000286,2026-02-15T06:53:04Z,wallet,success,9856.41,SGD
PAY0000287,ORD0000287,2026-05-10T12:05:24Z,bank_transfer,failed,9050.29,SGD
PAY0000288,ORD0000288,2026-01-27T04:02:13Z,wallet,success,1674.99,SGD
PAY0000289,ORD0000289,2026-01-06T05:42:31Z,bank_transfer,pending,7496.87,SGD
PAY0000290,ORD0000290,2026-04-01T13:25:08Z,card,success,12435.22,SGD
PAY0000291,ORD0000291,2026-01-07T04:22:35Z,wallet,success,2212.38,SGD
PAY0000292,ORD0000292,2026-03-31T06:16:12Z,card,success,987.9,SGD
PAY0000293,ORD0000293,2026-05-18T03:16:27Z,card,refunded,9061.71,SGD
PAY0000294,ORD0000294,2026-04-20T05:13:00Z,wallet,success,22072.47,SGD
PAY0000295,ORD0000295,2026-01-09T18:38:02Z,bank_transfer,failed,10512.55,SGD
PAY0000296,ORD0000296,2026-03-11T09:36:47Z,wallet,success,8564.0,SGD
PAY0000297,ORD0000297,2026-05-14T15:55:18Z,paypal,success,8566.73,SGD
PAY0000298,ORD0000298,2026-04-11T00:51:16Z,paypal,success,5397.25,SGD
PAY0000299,ORD0000299,2026-04-22T04:38:24Z,paypal,success,16933.52,SGD
PAY0000300,ORD0000300,2026-03-26T16:21:57Z,paypal,success,9670.76,SGD
PAY0000301,ORD0000301,2026-02-13T20:47:17Z,wallet,pending,4084.08,SGD
PAY0000302,ORD0000302,2026-01-14T03:26:59Z,card,refunded,18322.72,SGD
PAY0000303,ORD0000303,2026-03-22T12:20:39Z,paypal,success,12843.84,SGD
PAY0000304,ORD0000304,2026-04-07T23:17:27Z,paypal,success,15424.31,SGD
PAY0000305,ORD0000305,2026-03-31T20:58:39Z,paypal,success,9198.84,SGD
PAY0000306,ORD0000306,2026-01-13T12:50:14Z,paypal,success,4099.06,SGD
PAY0000307,ORD0000307,2026-02-16T08:22:47Z,paypal,success,2984.07,SGD
PAY0000308,ORD0000308,2026-05-06T16:32:30Z,paypal,success,522.67,SGD
PAY0000309,ORD0000309,2026-04-18T00:14:35Z,paypal,success,1757.42,SGD
PAY0000310,ORD0000310,2026-01-17T09:04:24Z,paypal,success,11757.56,SGD
PAY0000311,ORD0000311,2026-05-10T00:30:34Z,card,success,7726.23,SGD
PAY0000312,ORD0000312,2026-03-24T03:32:44Z,bank_transfer,success,5176.82,SGD
