ticket_id,customer_id,created_at,resolved_at,priority,issue_type,status,satisfaction_score
TICK000033,CUST00038,2026-02-01T06:21:55Z,,critical,product_question,in_progress,
TICK000034,CUST00740,2026-05-20T07:21:09Z,,high,payment_issue,open,
TICK000035,CUST00865,2026-02-17T04:51:08Z,2026-02-20T13:51:08Z,low,technical_support,resolved,2
TICK000036,CUST00072,2026-02-23T22:45:02Z,2026-02-25T11:45:02Z,critical,refund_request,closed,1
TICK000037,CUST00501,2026-05-09T15:47:00Z,2026-05-09T22:47:00Z,low,technical_support,closed,5
TICK000038,CUST00191,2026-02-05T10:50:19Z,,low,delivery_delay,open,
TICK000039,CUST00706,2026-01-09T00:17:20Z,2026-01-11T19:17:20Z,low,refund_request,resolved,5
TICK000040,CUST00460,2026-04-23T16:08:33Z,,medium,delivery_delay,open,
TICK000041,CUST00304,2026-02-16T09:28:04Z,2026-02-18T06:28:04Z,critical,refund_request,closed,2
TICK000042,CUST00040,2026-01-12T23:05:24Z,2026-01-13T17:05:24Z,low,payment_issue,resolved,5
TICK000043,CUST00368,2026-01-26T08:14:14Z,2026-01-31T06:14:14Z,medium,refund_request,closed,5
TICK000044,CUST00985,2026-01-23T10:44:55Z,2026-01-25T11:44:55Z,low,account_issue,closed,2
TICK000045,CUST00158,2026-01-16T13:39:04Z,,critical,technical_support,in_progress,
TICK000046,CUST00437,2026-01-17T01:01:32Z,,medium,product_question,in_progress,
TICK000047,CUST00690,2026-01-24T20:29:05Z,,high,refund_request,in_progress,
TICK000048,CUST00660,2026-05-20T22:38:29Z,,high,delivery_delay,in_progress,
TICK000049,CUST00999,2026-02-07T00:05:13Z,,critical,refund_request,in_progress,
TICK000050,CUST00705,2026-03-03T22:48:44Z,2026-03-07T13:48:44Z,low,refund_request,resolved,1
TICK000051,CUST00258,2026-04-20T02:13:36Z,,high,payment_issue,in_progress,
TICK000052,CUST00147,2026-04-16T16:09:27Z,2026-04-20T00:09:27Z,medium,account_issue,closed,2
TICK000053,CUST00499,2026-01-10T17:31:54Z,,high,delivery_delay,in_progress,
TICK000054,CUST00278,2026-02-05T23:08:01Z,2026-02-06T11:08:01Z,medium,refund_request,resolved,3
TICK000055,CUST00860,2026-05-13T22:25:51Z,,high,refund_request,open,
TICK000056,CUST00616,2026-05-20T13:06:45Z,,low,payment_issue,in_progress,
TICK000057,CUST00622,2026-05-06T09:13:02Z,,medium,delivery_delay,open,
TICK000058,CUST00640,2026-04-18T10:23:36Z,2026-04-22T15:23:36Z,low,technical_support,closed,3
TICK000059,CUST00425,2026-01-08T00:23:51Z,,medium,delivery_delay,open,
TICK000060,CUST00784,2026-05-19T15:30:59Z,2026-05-21T12:30:59Z,high,technical_support,closed,3
TICK000061,CUST00325,2026-05-21T02:22:53Z,2026-05-22T18:22:53Z,critical,product_question,closed,2
TICK000062,CUST00482,2026-04-22T22:08:48Z,,high,account_issue,in_progress,
TICK000063,CUST00080,2026-02-03T13:33:16Z,,low,account_issue,open,
TICK000064,CUST00942,2026-04-15T03:09:41Z,,critical,product_question,open,
TICK000065,CUST00667,2026-02-05T18:17:10Z,2026-02-07T06:17:10Z,critical,payment_issue,resolved,3
TICK000066,CUST00643,2026-01-04T03:37:23Z,,critical,technical_support,in_progress,
TICK000067,CUST00636,2026-03-14T11:01:35Z,2026-03-18T21:01:35Z,low,account_issue,resolved,3
TICK000068,CUST00682,2026-04-02T04:20:02Z,2026-04-06T13:20:02Z,low,technical_support,closed,1
TICK000069,CUST00493,2026-03-27T04:22:59Z,,critical,refund_request,open,
TICK000070,CUST00972,2026-05-19T12:51:55Z,2026-05-24T09:51:55Z,low,payment_issue,closed,1
TICK000071,CUST00150,2026-03-30T06:19:33Z,,low,technical_support,open,
TICK000072,CUST00173,2026-01-12T14:58:41Z,,low,delivery_delay,open,
TICK000073,CUST00467,2026-01-29T21:16:39Z,2026-01-30T15:16:39Z,high,delivery_delay,closed,2
TICK000074,CUST00016,2026-02-10T07:56:42Z,,high,payment_issue,open,
TICK000075,CUST00136,2026-05-02T00:25:41Z,2026-05-03T15:25:41Z,critical,technical_support,closed,5
TICK000076,CUST00275,2026-02-20T16:22:24Z,,critical,product_question,in_progress,
TICK000077,CUST00620,2026-02-13T06:53:39Z,,low,product_question,in_progress,
TICK000078,CUST00422,2026-02-10T15:04:00Z,2026-02-11T17:04:00Z,medium,technical_support,closed,2
TICK000079,CUST00076,2026-01-19T11:48:24Z,2026-01-20T04:48:24Z,high,payment_issue,resolved,1
TICK000080,CUST00370,2026-03-15T13:46:45Z,2026-03-16T15:46:45Z,critical,technical_support,closed,2
TICK000081,CUST00794,2026-02-23T12:59:47Z,2026-02-23T19:59:47Z,critical,delivery_delay,resolved,5
TICK000082,CUST00830,2026-04-30T21:12:43Z,,medium,payment_issue,open,
TICK000083,CUST00936,2026-01-28T09:23:47Z,,low,technical_support,in_progress,
TICK000084,CUST00922,2026-03-06T16:05:18Z,2026-03-08T01:05:18Z,high,product_question,closed,3
TICK000085,CUST00702,2026-01-05T20:02:20Z,,medium,refund_request,in_progress,
TICK000086,CUST00431,2026-02-26T23:05:10Z,2026-02-27T10:05:10Z,critical,account_issue,closed,4
TICK000087,CUST00392,2026-03-27T21:27:22Z,,medium,technical_support,open,
TICK000088,CUST00510,2026-04-02T10:17:35Z,,critical,refund_request,in_progress,
TICK000089,CUST00379,2026-03-09T23:58:03Z,2026-03-11T10:58:03Z,high,account_issue,resolved,2
TICK000090,CUST00311,2026-02-18T18:07:35Z,2026-02-20T04:07:35Z,critical,payment_issue,closed,5
TICK000091,CUST00681,2026-04-08T18:25:43Z,,low,technical_support,in_progress,
TICK000092,CUST00746,2026-04-16T03:03:07Z,2026-04-16T14:03:07Z,high,delivery_delay,closed,2
TICK000093,CUST00580,2026-03-20T13:49:51Z,,medium,refund_request,in_progress,
TICK000094,CUST00288,2026-04-30T13:29:35Z,,high,delivery_delay,open,
TICK000095,CUST00962,2026-02-28T15:20:21Z,2026-03-04T07:20:21Z,medium,payment_issue,closed,2
TICK000096,CUST00885,2026-04-06T02:04:14Z,2026-04-06T15:04:14Z,critical,payment_issue,resolved,2
TICK000097,CUST00311,2026-02-22T08:06:41Z,2026-02-22T09:06:41Z,medium,delivery_delay,closed,2
TICK000098,CUST00017,2026-04-17T05:21:15Z,,low,refund_request,open,
TICK000099,CUST00373,2026-05-21T02:19:29Z,2026-05-24T05:19:29Z,medium,payment_issue,closed,1
TICK000100,CUST00565,2026-01-25T00:27:52Z,2026-01-25T04:27:52Z,high,account_issue,closed,1
TICK000101,CUST00643,2026-04-29T03:55:03Z,2026-05-01T00:55:03Z,critical,product_question,closed,4
TICK000102,CUST00853,2026-02-17T11:58:03Z,,critical,product_question,in_progress,
TICK000103,CUST00925,2026-05-13T08:47:08Z,2026-05-17T00:47:08Z,medium,delivery_delay,resolved,4
TICK000104,CUST00440,2026-03-20T22:08:40Z,,low,refund_request,open,
TICK000105,CUST00163,2026-02-03T17:07:08Z,2026-02-04T21:07:08Z,medium,payment_issue,closed,1
TICK000106,CUST00929,2026-03-17T05:21:53Z,2026-03-20T03:21:53Z,medium,technical_support,closed,3
TICK000107,CUST00639,2026-02-04T04:43:31Z,2026-02-06T06:43:31Z,low,refund_request,closed,2
TICK000108,CUST00592,2026-04-23T03:02:55Z,,low,delivery_delay,open,
TICK000109,CUST00215,2026-01-21T14:39:11Z,2026-01-26T14:39:11Z,medium,refund_request,resolved,4
TICK000110,CUST00185,2026-03-15T23:39:45Z,2026-03-17T07:39:45Z,critical,technical_support,closed,5
TICK000111,CUST00264,2026-04-01T18:25:18Z,2026-04-05T11:25:18Z,medium,product_question,resolved,1
TICK000112,CUST00567,2026-02-26T04:39:44Z,,high,delivery_delay,in_progress,
TICK000113,CUST00439,2026-05-06T00:58:26Z,,critical,payment_issue,in_progress,
TICK000114,CUST00291,2026-01-26T21:33:57Z,,low,refund_request,open,
TICK000115,CUST00209,2026-02-28T18:32:58Z,2026-03-02T15:32:58Z,critical,payment_issue,resolved,5
TICK000116,CUST00914,2026-04-15T04:05:24Z,,critical,delivery_delay,in_progress,
TICK000117,CUST00006,2026-02-01T12:26:48Z,,low,payment_issue,in_progress,
TICK000118,CUST00848,2026-03-31T17:43:59Z,,low,technical_support,open,
TICK000119,CUST00749,2026-05-05T19:45:37Z,2026-05-07T16:45:37Z,high,technical_support,closed,3
TICK000120,CUST00540,2026-02-07T18:36:53Z,,medium,refund_request,in_progress,
TICK000121,CUST00666,2026-05-21T12:55:32Z,,medium,payment_issue,in_progress,
TICK000122,CUST00626,2026-01-14T08:47:33Z,,critical,delivery_delay,in_progress,
TICK000123,CUST00001,2026-05-07T09:34:51Z,2026-05-07T18:34:51Z,low,payment_issue,resolved,2
TICK000124,CUST00669,2026-05-11T01:34:14Z,,low,refund_request,in_progress,
TICK000125,CUST00740,2026-03-23T03:01:26Z,2026-03-28T01:01:26Z,low,payment_issue,closed,1
TICK000126,CUST00892,2026-03-08T09:20:18Z,,medium,technical_support,in_progress,
TICK000127,CUST00180,2026-04-26T14:19:05Z,,low,product_question,in_progress,
TICK000128,CUST00644,2026-05-01T09:41:55Z,2026-05-01T20:41:55Z,high,product_question,closed,4
TICK000129,CUST00447,2026-02-10T19:02:47Z,,medium,refund_request,in_progress,
TICK000130,CUST00732,2026-04-21T18:51:39Z,,medium,account_issue,in_progress,
TICK000131,CUST00731,2026-04-16T11:29:54Z,,low,delivery_delay,in_progress,
TICK000132,CUST00101,2026-05-13T08:42:14Z,2026-05-14T23:42:14Z,low,delivery_delay,closed,1
TICK000133,CUST00586,2026-05-16T19:02:12Z,,medium,refund_request,open,
TICK000134,CUST00466,2026-02-06T00:11:32Z,2026-02-07T09:11:32Z,high,payment_issue,resolved,1
TICK000135,CUST00300,2026-03-07T16:08:46Z,,critical,product_question,in_progress,
TICK000136,CUST00707,2026-01-05T00:58:47Z,2026-01-07T02:58:47Z,medium,account_issue,closed,4
TICK000137,CUST00252,2026-01-25T14:52:51Z,2026-01-25T22:52:51Z,low,technical_support,resolved,5
TICK000138,CUST00684,2026-05-05T05:52:14Z,,low,product_question,open,
TICK000139,CUST00377,2026-03-26T10:00:09Z,2026-03-30T21:00:09Z,medium,refund_request,resolved,5
TICK000140,CUST00431,2026-04-25T08:23:00Z,2026-04-26T22:23:00Z,high,product_question,closed,3
TICK000141,CUST00108,2026-01-22T12:27:32Z,2026-01-23T20:27:32Z,high,delivery_delay,resolved,2
TICK000142,CUST00993,2026-05-21T07:20:49Z,,critical,technical_support,open,
TICK000143,CUST00161,2026-04-11T07:50:24Z,2026-04-11T10:50:24Z,critical,account_issue,closed,5
TICK000144,CUST00240,2026-05-06T19:44:45Z,2026-05-06T20:44:45Z,low,payment_issue,resolved,4
TICK000145,CUST00511,2026-02-19T01:17:16Z,,critical,delivery_delay,open,
TICK000146,CUST00005,2026-04-04T05:48:59Z,2026-04-04T10:48:59Z,low,technical_support,resolved,2
TICK000147,CUST00255,2026-04-13T05:55:04Z,2026-04-15T17:55:04Z,low,delivery_delay,resolved,2
TICK000148,CUST00873,2026-04-20T02:47:10Z,,high,delivery_delay,open,
TICK000149,CUST00493,2026-04-16T06:41:58Z,2026-04-20T17:41:58Z,medium,delivery_delay,resolved,2
TICK000150,CUST00319,2026-01-21T00:11:02Z,2026-01-21T10:11:02Z,critical,refund_request,resolved,2
TICK000151,CUST00017,2026-05-22T17:56:08Z,2026-05-25T05:56:08Z,low,payment_issue,resolved,2
TICK000152,CUST00059,2026-04-05T20:26:55Z,2026-04-06T05:26:55Z,high,delivery_delay,closed,1
TICK000153,CUST00519,2026-02-18T07:46:08Z,,high,payment_issue,open,
TICK000154,CUST00350,2026-04-07T13:19:38Z,2026-04-12T03:19:38Z,low,technical_support,closed,3
TICK000155,CUST00805,2026-05-03T21:07:06Z,2026-05-05T08:07:06Z,low,refund_request,closed,2
TICK000156,CUST00582,2026-05-19T07:27:30Z,2026-05-20T01:27:30Z,high,refund_request,closed,1
TICK000157,CUST00255,2026-05-22T23:32:13Z,2026-05-24T06:32:13Z,high,account_issue,closed,3
TICK000158,CUST00843,2026-02-26T19:27:52Z,2026-03-01T08:27:52Z,medium,payment_issue,closed,2
TICK000159,CUST00940,2026-02-04T00:01:12Z,,high,payment_issue,in_progress,
TICK000160,CUST00693,2026-01-05T13:07:26Z,2026-01-06T13:07:26Z,medium,technical_support,closed,3
TICK000161,CUST00280,2026-04-17T19:40:00Z,,high,product_question,open,
TICK000162,CUST00144,2026-04-30T12:03:53Z,2026-05-02T04:03:53Z,high,product_question,closed,3
TICK000163,CUST00970,2026-05-14T16:25:20Z,2026-05-18T01:25:20Z,medium,payment_issue,closed,5
TICK000164,CUST00516,2026-04-25T18:05:42Z,,high,technical_support,in_progress,
TICK000165,CUST00986,2026-01-26T20:29:42Z,,low,payment_issue,in_progress,
TICK000166,CUST00299,2026-05-18T04:55:44Z,2026-05-19T05:55:44Z,medium,payment_issue,resolved,3
TICK000167,CUST00187,2026-04-09T23:54:33Z,2026-04-11T17:54:33Z,low,payment_issue,closed,5
TICK000168,CUST00458,2026-04-28T02:46:21Z,,high,payment_issue,in_progress,
TICK000169,CUST00263,2026-02-18T07:33:10Z,2026-02-18T16:33:10Z,critical,refund_request,closed,4
TICK000170,CUST00315,2026-01-03T04:29:01Z,2026-01-03T10:29:01Z,low,refund_request,resolved,5
TICK000171,CUST00011,2026-05-01T18:48:23Z,2026-05-03T00:48:23Z,critical,account_issue,resolved,5
TICK000172,CUST00242,2026-01-17T16:41:54Z,,critical,product_question,open,
TICK000173,CUST00721,2026-02-23T12:48:06Z,,low,refund_request,open,
TICK000174,CUST00094,2026-01-07T16:00:35Z,,critical,product_question,in_progress,
TICK000175,CUST00825,2026-01-24T04:05:11Z,2026-01-26T03:05:11Z,low,delivery_delay,closed,4
TICK000176,CUST00794,2026-05-16T00:23:16Z,,medium,delivery_delay,in_progress,
TICK000177,CUST00997,2026-04-03T10:59:52Z,2026-04-08T04:59:52Z,medium,payment_issue,resolved,2
TICK000178,CUST00144,2026-03-09T10:51:59Z,2026-03-10T19:51:59Z,medium,technical_support,closed,1
TICK000179,CUST00247,2026-03-30T21:01:22Z,2026-04-04T09:01:22Z,medium,account_issue,closed,3
TICK000180,CUST00513,2026-03-24T03:10:15Z,2026-03-25T23:10:15Z,critical,refund_request,closed,5
TICK000181,CUST00008,2026-02-09T20:19:28Z,,critical,delivery_delay,in_progress,
TICK000182,CUST00882,2026-01-05T05:23:30Z,,high,account_issue,open,
TICK000183,CUST00671,2026-03-18T15:40:51Z,2026-03-21T22:40:51Z,low,product_question,resolved,5
TICK000184,CUST00973,2026-03-17T23:17:47Z,,critical,technical_support,in_progress,
TICK000185,CUST00151,2026-01-16T21:54:28Z,2026-01-21T01:54:28Z,low,technical_support,closed,3
TICK000186,CUST00312,2026-01-19T18:34:50Z,2026-01-20T22:34:50Z,high,payment_issue,closed,3
TICK000187,CUST00957,2026-03-09T01:41:01Z,2026-03-10T03:41:01Z,high,technical_support,closed,3
TICK000188,CUST00447,2026-01-06T10:02:11Z,,low,payment_issue,open,
TICK000189,CUST00261,2026-01-09T22:29:48Z,,medium,refund_request,in_progress,
TICK000190,CUST00891,2026-05-20T07:01:50Z,,low,refund_request,in_progress,
TICK000191,CUST00360,2026-02-15T17:51:24Z,,low,delivery_delay,open,
TICK000192,CUST00517,2026-05-21T02:17:07Z,,low,delivery_delay,open,
TICK000193,CUST00114,2026-04-17T02:26:39Z,2026-04-20T10:26:39Z,low,delivery_delay,resolved,4
TICK000194,CUST00887,2026-01-01T21:33:06Z,,medium,product_question,in_progress,
TICK000195,CUST00197,2026-04-13T12:48:49Z,2026-04-14T08:48:49Z,high,account_issue,resolved,4
TICK000196,CUST00436,2026-05-07T07:35:03Z,,high,delivery_delay,in_progress,
TICK000197,CUST00238,2026-01-22T05:40:31Z,,low,account_issue,open,
TICK000198,CUST00655,2026-04-12T16:37:33Z,,low,payment_issue,open,
TICK000199,CUST00799,2026-01-19T23:01:58Z,2026-01-20T20:01:58Z,critical,account_issue,closed,5
TICK000200,CUST00671,2026-04-12T08:28:57Z,,medium,delivery_delay,in_progress,
TICK000201,CUST00535,2026-02-18T10:41:17Z,,low,payment_issue,open,
TICK000202,CUST00294,2026-03-08T16:44:44Z,2026-03-10T02:44:44Z,medium,product_question,closed,3
TICK000203,CUST00981,2026-01-22T15:10:25Z,2026-01-23T23:10:25Z,high,account_issue,closed,2
TICK000204,CUST00999,2026-04-28T06:58:29Z,,medium,refund_request,open,
TICK000205,CUST00850,2026-05-19T23:50:57Z,,medium,refund_request,open,
TICK000206,CUST00916,2026-05-16T00:48:01Z,,critical,refund_request,open,
TICK000207,CUST00547,2026-01-28T23:06:50Z,2026-01-31T08:06:50Z,medium,account_issue,resolved,1
TICK000208,CUST00123,2026-03-14T18:24:50Z,,low,payment_issue,in_progress,
TICK000209,CUST00134,2026-05-07T13:37:44Z,2026-05-11T11:37:44Z,low,delivery_delay,closed,1
TICK000210,CUST00227,2026-03-23T19:34:15Z,2026-03-24T17:34:15Z,critical,technical_support,closed,3
TICK000211,CUST00112,2026-02-18T18:52:43Z,2026-02-19T20:52:43Z,critical,account_issue,resolved,3
TICK000212,CUST00231,2026-02-10T14:26:07Z,2026-02-11T14:26:07Z,low,product_question,closed,1
TICK000213,CUST00234,2026-02-23T06:59:04Z,2026-02-25T04:59:04Z,critical,account_issue,resolved,5
TICK000214,CUST00623,2026-01-28T15:01:09Z,,low,payment_issue,in_progress,
TICK000215,CUST00948,2026-04-17T18:00:18Z,2026-04-20T14:00:18Z,medium,delivery_delay,closed,3
TICK000216,CUST00632,2026-01-08T07:52:07Z,,high,product_question,open,
TICK000217,CUST00040,2026-02-10T08:51:13Z,,medium,payment_issue,open,
TICK000218,CUST00596,2026-04-16T12:24:19Z,2026-04-17T12:24:19Z,high,product_question,closed,3
TICK000219,CUST00902,2026-01-28T05:06:50Z,2026-01-28T20:06:50Z,critical,technical_support,closed,3
TICK000220,CUST00563,2026-04-18T23:52:15Z,2026-04-20T18:52:15Z,critical,delivery_delay,closed,2
TICK000221,CUST00258,2026-01-26T00:53:06Z,2026-01-27T08:53:06Z,critical,refund_request,closed,3
TICK000222,CUST00505,2026-04-04T03:45:20Z,,high,delivery_delay,in_progress,
TICK000223,CUST00208,2026-01-14T07:38:58Z,,medium,product_question,open,
TICK000224,CUST00737,2026-04-27T22:17:52Z,2026-05-02T06:17:52Z,low,refund_request,resolved,2
TICK000225,CUST00341,2026-04-28T12:27:44Z,,low,account_issue,open,
TICK000226,CUST00116,2026-04-21T08:59:41Z,2026-04-22T22:59:41Z,low,delivery_delay,closed,4
TICK000227,CUST00394,2026-01-14T17:36:16Z,2026-01-16T15:36:16Z,medium,technical_support,resolved,1
TICK000228,CUST00867,2026-02-12T00:07:27Z,2026-02-12T13:07:27Z,low,payment_issue,closed,4
TICK000229,CUST00985,2026-03-20T10:03:41Z,,low,payment_issue,in_progress,
TICK000230,CUST00353,2026-01-20T11:57:24Z,2026-01-20T14:57:24Z,medium,product_question,resolved,3
TICK000231,CUST00207,2026-05-06T02:44:59Z,2026-05-07T21:44:59Z,critical,payment_issue,resolved,2
TICK000232,CUST00346,2026-05-03T07:23:47Z,2026-05-05T02:23:47Z,high,payment_issue,resolved,4
TICK000233,CUST00032,2026-04-14T17:56:40Z,,medium,technical_support,open,
TICK000234,CUST00825,2026-05-07T05:23:50Z,,medium,technical_support,open,
TICK000235,CUST00768,2026-02-28T11:44:10Z,,high,account_issue,open,
TICK000236,CUST00939,2026-03-16T18:58:05Z,2026-03-18T11:58:05Z,high,payment_issue,closed,3
TICK000237,CUST00836,2026-05-19T09:36:29Z,,medium,refund_request,open,
TICK000238,CUST00228,2026-05-13T13:45:11Z,,critical,payment_issue,in_progress,
TICK000239,CUST00146,2026-01-07T06:15:47Z,2026-01-07T17:15:47Z,critical,delivery_delay,resolved,4
TICK000240,CUST00481,2026-03-14T05:05:29Z,2026-03-14T18:05:29Z,high,refund_request,resolved,4
TICK000241,CUST00725,2026-05-02T01:59:20Z,2026-05-02T18:59:20Z,medium,payment_issue,closed,3
TICK000242,CUST00630,2026-03-06T09:59:46Z,2026-03-07T09:59:46Z,high,refund_request,closed,1
TICK000243,CUST00695,2026-04-13T12:05:13Z,2026-04-14T16:05:13Z,critical,technical_support,resolved,1
TICK000244,CUST00027,2026-02-07T10:49:53Z,,low,product_question,open,
TICK000245,CUST00007,2026-05-16T12:36:30Z,2026-05-17T21:36:30Z,critical,payment_issue,resolved,5
TICK000246,CUST00116,2026-01-23T21:30:19Z,2026-01-25T18:30:19Z,medium,delivery_delay,resolved,5
TICK000247,CUST00147,2026-05-20T18:48:28Z,,medium,product_question,in_progress,
TICK000248,CUST00792,2026-03-09T21:01:58Z,,medium,payment_issue,in_progress,
TICK000249,CUST00655,2026-05-23T06:52:43Z,,high,technical_support,open,
TICK000250,CUST00861,2026-02-21T18:33:08Z,,critical,delivery_delay,in_progress,
TICK000251,CUST00933,2026-02-23T11:39:55Z,2026-02-24T07:39:55Z,critical,payment_issue,resolved,4
TICK000252,CUST00102,2026-04-07T15:41:05Z,,low,product_question,open,
TICK000253,CUST00108,2026-03-26T20:52:25Z,,low,product_question,in_progress,
TICK000254,CUST00973,2026-01-12T03:24:21Z,,critical,account_issue,open,
TICK000255,CUST00610,2026-01-03T13:51:28Z,2026-01-04T00:51:28Z,critical,refund_request,resolved,5
TICK000256,CUST00565,2026-02-28T05:22:54Z,2026-03-01T15:22:54Z,low,technical_support,resolved,4
TICK000257,CUST00500,2026-04-09T13:08:20Z,2026-04-11T05:08:20Z,low,delivery_delay,closed,1
TICK000258,CUST00368,2026-03-16T20:15:31Z,,low,payment_issue,in_progress,
TICK000259,CUST00296,2026-02-25T10:48:13Z,2026-02-28T10:48:13Z,low,refund_request,closed,1
TICK000260,CUST00612,2026-02-26T01:04:52Z,2026-03-02T01:04:52Z,medium,delivery_delay,resolved,3
TICK000261,CUST00830,2026-02-04T21:52:34Z,2026-02-07T10:52:34Z,low,technical_support,closed,2
TICK000262,CUST00163,2026-01-27T07:26:39Z,2026-01-28T02:26:39Z,high,account_issue,resolved,3
TICK000263,CUST00083,2026-01-02T17:58:13Z,2026-01-03T20:58:13Z,high,product_question,closed,5
TICK000264,CUST00468,2026-05-08T12:41:40Z,2026-05-10T19:41:40Z,low,delivery_delay,resolved,2
TICK000265,CUST00930,2026-04-08T19:38:29Z,2026-04-10T16:38:29Z,high,product_question,resolved,1
TICK000266,CUST00329,2026-01-03T19:22:08Z,,critical,payment_issue,open,
TICK000267,CUST00928,2026-03-20T16:27:48Z,,medium,product_question,open,
TICK000268,CUST00996,2026-04-27T07:34:35Z,,high,payment_issue,open,
TICK000269,CUST00294,2026-05-11T18:19:25Z,2026-05-13T06:19:25Z,high,product_question,closed,2
TICK000270,CUST00645,2026-03-29T23:33:18Z,2026-04-03T09:33:18Z,low,account_issue,resolved,1
TICK000271,CUST00225,2026-04-05T07:55:22Z,,medium,payment_issue,open,
TICK000272,CUST00766,2026-02-17T18:50:02Z,,critical,account_issue,open,
TICK000273,CUST00833,2026-02-04T07:51:03Z,,low,account_issue,open,
TICK000274,CUST00820,2026-01-06T23:29:30Z,,low,delivery_delay,in_progress,
TICK000275,CUST00411,2026-04-19T04:20:02Z,2026-04-19T10:20:02Z,critical,product_question,resolved,5
TICK000276,CUST00733,2026-04-15T05:15:59Z,,critical,account_issue,in_progress,
TICK000277,CUST00625,2026-01-23T11:42:14Z,,medium,account_issue,open,
TICK000278,CUST00657,2026-01-28T10:10:03Z,,low,product_question,open,
TICK000279,CUST00637,2026-04-23T01:47:27Z,2026-04-25T11:47:27Z,medium,delivery_delay,closed,2
TICK000280,CUST00686,2026-01-07T08:30:42Z,2026-01-11T17:30:42Z,medium,technical_support,resolved,4
TICK000281,CUST00362,2026-02-15T05:23:53Z,,critical,payment_issue,open,
TICK000282,CUST00046,2026-04-25T14:31:48Z,2026-04-26T22:31:48Z,critical,delivery_delay,closed,4
TICK000283,CUST00732,2026-05-05T13:35:54Z,,medium,technical_support,open,
TICK000284,CUST00057,2026-02-18T17:31:46Z,,critical,product_question,in_progress,
TICK000285,CUST00330,2026-01-22T21:02:25Z,2026-01-24T21:02:25Z,critical,product_question,resolved,2
TICK000286,CUST00630,2026-05-19T18:29:59Z,,critical,product_question,in_progress,
TICK000287,CUST00375,2026-02-23T15:38:45Z,,critical,technical_support,in_progress,
TICK000288,CUST00624,2026-02-27T00:07:07Z,,critical,payment_issue,open,
TICK000289,CUST00733,2026-02-14T03:11:51Z,,medium,account_issue,open,
TICK000290,CUST00231,2026-01-01T10:15:06Z,2026-01-05T00:15:06Z,low,product_question,resolved,5
TICK000291,CUST00017,2026-03-19T20:39:10Z,2026-03-20T14:39:10Z,high,delivery_delay,resolved,4
